company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
olga s.r.l.;glass_construction_materials;roadlaying_materials;;manufacturer/ producer;s.s. 17, km. 94,700 - zona industriale sulmona | via maremmana iii^, 17/b - 00030 san cesareo (rm) | 67035 pratola peligna - italy;pratola peligna - italy;67035;italy;roadlaying materials | road curbstones;the company olga s.r.l., is a manufacturer/ producer, which operates in the roadlaying materials industry. it also operates in the road curbstones industries. it is based in pratola peligna, italy.;11.0;50.0;registered office – parent company;False;;http://www.olgasrl.it/;;olga-srl_seac001911538-777756001
podetta s.r.l.;glass_construction_materials;roadlaying_materials;;service provider;2 via del ponticello | 21020 brebbia - italy;brebbia - italy;21020;italy;bricks | plaster and plaster products | roadlaying materials;the company podetta s.r.l., is a service provider, founded in 2002, which operates in the bricks industry. it also operates in the plaster and plaster products, and roadlaying materials industries. it is based in brebbia, italy.;11.0;50.0;registered office;False;2002.0;http://www.paginegialle.it/scavi-demolizioni-podetta-brebbia-va;;podetta-srl_seac000784009-001
pardeller markus;glass_construction_materials;roadlaying_materials;;manufacturer/ producer;mulino | 39056 nova levante - italy;nova levante - italy;39056;italy;bricks | plaster and plaster products | roadlaying materials;the company pardeller markus, is a manufacturer/ producer, which operates in the bricks industry. it also operates in the plaster and plaster products, and roadlaying materials industries. it is based in nova levante, italy.;;;registered office;False;;http://www.creaton.de;;pardeller-markus_seac002094637-001
f.lli zuin s.n.c. di zuin dino - giulio & c.;glass_construction_materials;roadlaying_materials;;;6 via bassette | 35129 padova - italy;padova - italy;35129;italy;bricks | plaster and plaster products | roadlaying materials;the company f.lli zuin s.n.c. di zuin dino - giulio & c., founded in 1958, which operates in the bricks industry. it also operates in the plaster and plaster products, and roadlaying materials industries. it is based in padova, italy.;;;registered office;False;1958.0;https://www.fratellizuin.it/;;flli-zuin-snc-di-zuin-dino-giulio-c_seac000066234-001
porfido trentino ( s.r.l. );glass_construction_materials;roadlaying_materials;;;localita' possender | 38041 albiano - italy;albiano - italy;38041;italy;bricks | plaster and plaster products | roadlaying materials;the company porfido trentino ( s.r.l. ), founded in 1982, which operates in the bricks industry. it also operates in the plaster and plaster products, and roadlaying materials industries. it is based in albiano, italy.;11.0;50.0;registered office;False;1982.0;http://www.porfidotrentino.com;;porfido-trentino-srl-_seac000238304-001
tamponi mario s.r.l.;glass_construction_materials;roadlaying_materials;;;4 via bainsizza | 07023 calangianus - italy;calangianus - italy;7023;italy;bricks | plaster and plaster products | roadlaying materials;the company tamponi mario s.r.l., founded in 1986, which operates in the bricks industry. it also operates in the plaster and plaster products, and roadlaying materials industries. it is based in calangianus, italy.;;;registered office;False;1986.0;http://www.mariotamponisrl.it;;tamponi-mario-srl_seac000331596-001
mengon legnami s.r.l.;glass_construction_materials;roadlaying_materials;;;via del carroccio | 26012 castelleone - italy;castelleone - italy;26012;italy;bricks | plaster and plaster products | roadlaying materials;the company mengon legnami s.r.l., founded in 2005, which operates in the bricks industry. it also operates in the plaster and plaster products, and roadlaying materials industries. it is based in castelleone, italy.;11.0;50.0;registered office;False;2005.0;http://www.mengonlegnami.com/;;mengon-legnami-srl_seac000377614-001
evoltex s.r.l.;glass_construction_materials;roadlaying_materials;;manufacturer/ producer;4 via fontanelle | 25030 paratico - italy;paratico - italy;25030;italy;bricks | plaster and plaster products | roadlaying materials;the company evoltex s.r.l., is a manufacturer/ producer, founded in 1994, which operates in the bricks industry. it also operates in the plaster and plaster products, and roadlaying materials industries. it is based in paratico, italy.;;;registered office;False;1994.0;http://www.paginegialle.it/guarnizioni-industriali-evoltex-paratico;;evoltex-srl_seac000856900-001
gambini mario s.r.l.;glass_construction_materials;roadlaying_materials;;service provider;122 via serra renato | 61122 pesaro - italy;pesaro - italy;61122;italy;bricks | plaster and plaster products | roadlaying materials;the company gambini mario s.r.l., is a service provider, founded in 1981, which operates in the bricks industry. it also operates in the plaster and plaster products, and roadlaying materials industries. it is based in pesaro, italy.;11.0;50.0;registered office;False;1981.0;http://www.gambinirestauri.com;;gambini-mario-srl_seac000165053-001
c.u.p. s.r.l.;glass_construction_materials;roadlaying_materials;;subcontractor;1 localita' montegaggio | 38041 albiano - italy;albiano - italy;38041;italy;bricks | plaster and plaster products | roadlaying materials;the company c.u.p. s.r.l., is a subcontractor, founded in 1980, which operates in the bricks industry. it also operates in the plaster and plaster products, and roadlaying materials industries. it is based in albiano, italy.;11.0;50.0;registered office;False;1980.0;http://www.cupnova.it;;cup-srl_seac000200661-001
sipa spa;glass_construction_materials;roadlaying_materials;;manufacturer/ producer;strada provinciale 130, andria trani km 2,500 | 70031 andria - italy;andria - italy;70031;italy;roadlaying materials | draining asphalt;the company sipa spa, is a manufacturer/ producer, founded in 1983, which operates in the roadlaying materials industry. it also operates in the draining asphalt industries. it is based in andria, italy.;;;registered office;False;1983.0;http://www.sipasfalti.it;;sipa-spa_00000003889067-00101
fragi s.r.l.;glass_construction_materials;roadlaying_materials;;manufacturer/ producer;10 via caduti del lavoro | 25082 botticino - italy;botticino - italy;25082;italy;bricks | plaster and plaster products | roadlaying materials;the company fragi s.r.l., is a manufacturer/ producer, founded in 2002, which operates in the bricks industry. it also operates in the plaster and plaster products, and roadlaying materials industries. it is based in botticino, italy.;11.0;50.0;registered office;False;2002.0;;;fragi-srl_seac000696009-001
queirolo claudio;glass_construction_materials;roadlaying_materials;;;11 localita' ghiare | 19015 levanto - italy;levanto - italy;19015;italy;bricks | plaster and plaster products | roadlaying materials;the company queirolo claudio, which operates in the bricks industry. it also operates in the plaster and plaster products, and roadlaying materials industries. it is based in levanto, italy.;;;registered office;False;;;;queirolo-claudio_seac001619029-001
3 esse graniti s.n.c. di sceresini ivo ionica e fausto;glass_construction_materials;roadlaying_materials;;manufacturer/ producer;1 via marconi guglielmo | 22070 oltrona di san mamette - italy;oltrona di san mamette - italy;22070;italy;bricks | plaster and plaster products | roadlaying materials;the company 3 esse graniti s.n.c. di sceresini ivo ionica e fausto, is a manufacturer/ producer, founded in 1990, which operates in the bricks industry. it also operates in the plaster and plaster products, and roadlaying materials industries. it is based in oltrona di san mamette, italy.;;;registered office;False;1990.0;;;3-esse-graniti-snc-di-sceresini-ivo-ionica-e-fausto_seac000573173-001
romanopietra s.r.l.;glass_construction_materials;roadlaying_materials;;;70 via martano | 73010 soleto - italy;soleto - italy;73010;italy;bricks | plaster and plaster products | roadlaying materials;the company romanopietra s.r.l., founded in 2005, which operates in the bricks industry. it also operates in the plaster and plaster products, and roadlaying materials industries. it is based in soleto, italy.;11.0;50.0;registered office;False;2005.0;;;romanopietra-srl_seac000922212-001
fracassi enzo;glass_construction_materials;roadlaying_materials;;;s. zeno | olmo | 52100 arezzo - italy;arezzo - italy;52100;italy;bricks | plaster and plaster products | roadlaying materials;the company fracassi enzo, which operates in the bricks industry. it also operates in the plaster and plaster products, and roadlaying materials industries. it is based in arezzo, italy.;;;registered office;False;;;;fracassi-enzo_seac000218767-001
eco ram s.r.l.;glass_construction_materials;roadlaying_materials;;;regione bronda | 12037 saluzzo - italy;saluzzo - italy;12037;italy;bricks | plaster and plaster products | roadlaying materials;the company eco ram s.r.l., which operates in the bricks industry. it also operates in the plaster and plaster products, and roadlaying materials industries. it is based in saluzzo, italy.;11.0;50.0;;False;;;;eco-ram-srl_seac010776201-001
centro tecnico edile;glass_construction_materials;roadlaying_materials;;wholesaler;aurelia | 19034 ortonovo - italy;ortonovo - italy;19034;italy;bricks | plaster and plaster products | roadlaying materials;the company centro tecnico edile, is a wholesaler, which operates in the bricks industry. it also operates in the plaster and plaster products, and roadlaying materials industries. it is based in ortonovo, italy.;;;registered office;False;;;;centro-tecnico-edile_seac001664879-001
centro edile s.r.l.;glass_construction_materials;roadlaying_materials;;wholesaler;via manderi | 50013 campi bisenzio - italy;campi bisenzio - italy;50013;italy;bricks | plaster and plaster products | roadlaying materials;the company centro edile s.r.l., is a wholesaler, founded in 2002, which operates in the bricks industry. it also operates in the plaster and plaster products, and roadlaying materials industries. it is based in campi bisenzio, italy.;;;registered office;False;2002.0;;;centro-edile-srl_seac000839859-001
domenico bonadies snc;glass_construction_materials;roadlaying_materials;;;via duca d'aosta, 72 | 70031 andria (ba) - italy;andria (ba) - italy;70031;italy;structural work | public works contractors | roadlaying materials;the company domenico bonadies snc, which operates in the structural work industry. it also operates in the public works contractors, and roadlaying materials industries. it is based in andria (ba), italy.;;;;False;;;;domenico-bonadies-snc_ita315943-00101
