company_name;group;sector;subsector;main_activity;address;company_city;postcode;country;products_and_services;information;min_headcount;max_headcount;type_of_building_for_registered_address;verified_by_europages;year_established;websites;download_datetime;id
linea carta;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;via f.g. bona 5 | 10064 pinerolo - italy;pinerolo - italy;10064.0;italy;packaging materials - paper and cardboard | gift wrapping paper | artistic stationery | paper industry items and products | packaging boxes;the company linea carta, is a manufacturer/ producer, which operates in the packaging materials - paper and cardboard industry. it also operates in the gift wrapping paper, artistic stationery, paper industry items and products, and packaging boxes industries. it is based in pinerolo, italy.;;;registered office;True;;http://www.lineacartapinerolo.it;;linea-carta_seac001029298-001
alfincart s.r.l.;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;via carlo gatti | 84135 salerno - italy;salerno - italy;84135.0;italy;packaging materials - paper and cardboard | wax paper | pe coated paper | hdpe laminated paper | food-grade paper;alfincart ltd, “quelli della carta e della plastica”, is one of the country's leading manufacturers, suppliers and exporters of diverse range of packaging materials using innovative technology. located in salerno (italy), the company has firmly established itself as one of the most reputed food packaging company offering superior packaging solutions like wax paper, hdpe coated paper, pe coated paper and paper packaging materials. alfincart ltd specialize in a vast array of paper converting including flexible packaging, butcher paper, food grade paper, duplex paper, wax paper, pe coated paper, hdpe coated paper, waxed paper, poly coated paper, wrapping paper, packing paper, glassine paper, paper table cloths and paper bags. thanks to a very agile and flexible production process, the company is a very successful provider of services such as sheeting paper reels to sheets, guillotining board and paper, rewinding board and paper reel-to-reel, printing and packaging.;1.0;10.0;registered office – parent company - subsidiary;False;1980.0;http://www.alfincart.it;;alfincart-srl_ita321388-440707001
copim snc;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;31, v. trieste | 20811 cesano maderno - italy;cesano maderno - italy;20811.0;italy;packaging materials - paper and cardboard | polystyrene | packing | polyester packaging | styrofoam;~copim is a company specialising in the design and manufacture of polystyrene packaging. our range is diverse: we sell polystyrene boxes made without moulds; bags of packing peanuts; we create characters and shapes for decoration, displays and photo studios; moulded matrices for exposed concrete cornices, capitals, polystyrene key forms, arches, etc. ; bags of crushed polystyrene beads for concrete mixing to obtain light underlays.~;1.0;10.0;registered office – parent company;False;;http://www.lavorazionepolistirolo.eu;;copim-snc_seac000838421-002
emporio carta botton di panighetti luca & c. sas;paper_cardboard;packaging_materials_paper_and_cardboard;;distributor;via col berretta, 9 | 36022 cassola - italy;cassola - italy;36022.0;italy;packaging materials - paper and cardboard | office equipment and stationery | packing and packaging containers | adhesive films for protecting package surfaces | safety shoes;everything for packaging – safety equipment for the working environment. our company specializes in protection and hygiene products and systems for people and the environment. you will find a very extensive choice of innovative and exclusive products in stock, all compliant with ec standards and the 626 -155/haccp laws.;;;registered office – parent company;False;1946.0;http://www.e-botton.com;;emporio-carta-botton-di-panighetti-luca-c-sas_seac000557479-002
fiorini international spa;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;via maestri del lavoro, 13 | 60012 passo di ripe-trecastelli - italy;passo di ripe-trecastelli - italy;60012.0;italy;packaging materials - paper and cardboard | industrial bags | special bag | open top bags | wrapping material for the tobacco industry;production and sale of large and small paper bags, single or double thickness with or without a handle, for industrial use, reels of printed paper for packaging, advertising bags, shopping bags, envelopes, customised paper bags, manual or automatic.;;;;False;;http://www.fiorinint.com;;fiorini-international-spa_seac000412913-001
m.p. trade;paper_cardboard;packaging_materials_paper_and_cardboard;;distributor;stradale gela km. 6 sp 15 | 97019 km. 6 sp 15-vittoria - italy;km. 6 sp 15-vittoria - italy;97019.0;italy;packaging materials - paper and cardboard | containers for fruit and vegetable transport | packaging for grocery sector | corrugated board | undulated cardboard boxes;mp trade srl was set up by giombattista puccio , who brought with him the values inherited from his staunchly supportive family, working alongside his son luigi puccio, the current owner of the business, and giovanni puccio, who together have continued their father's fine work to create an atmosphere of close cooperation between owners and staff, a union that produces fantastic results by guaranteeing matchless products and services at very competitive prices.;;;registered office – parent company;False;;;;mp-trade_seac004939230-001
briopack srl;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;contrada sodera, 38 | 66030 poggiofiorito - italy;poggiofiorito - italy;66030.0;italy;packaging materials - paper and cardboard | undulated cardboard boxes | extensible industrial film | plastic sachets;the company briopack srl, is a manufacturer/ producer, founded in 2013, which operates in the packaging materials - paper and cardboard industry. it also operates in the undulated cardboard boxes, extensible industrial film, and plastic sachets industries. it is based in poggiofiorito, italy.;11.0;50.0;registered office – parent company;False;2013.0;http://www.briopack.com;;briopack-srl_00000004738947-536549001
telos imballaggi;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;viale del lavoro 4/6 | 37050 s. pietro di morubio - italy;s. pietro di morubio - italy;37050.0;italy;packaging materials - paper and cardboard | custom pallets;the company telos imballaggi, is a manufacturer/ producer, founded in 1991, which operates in the packaging materials - paper and cardboard industry. it also operates in the custom pallets industries. it is based in s. pietro di morubio, italy.;1.0;10.0;registered office – parent company;False;1991.0;http://www.telosimballaggi.it;;telos-imballaggi_00000003941927-219730001
eredi caimi srl;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;via g.pascoli 139 | 21057 olgiate olona - italy;olgiate olona - italy;21057.0;italy;boxes, cardboard | packaging materials - paper and cardboard | packing dolly | plastic carrying containers;the company eredi caimi srl, is a manufacturer/ producer, founded in 1950, which operates in the boxes, cardboard industry. it also operates in the packaging materials - paper and cardboard, packing dolly, and plastic carrying containers industries. it is based in olgiate olona, italy.;11.0;50.0;registered office – parent company;False;1950.0;http://www.eredicaimi.it;;eredi-caimi-srl_ita320075-8355001
gift box italia;paper_cardboard;packaging_materials_paper_and_cardboard;;distributor;piazza carlo amati 3 | 20147 milano - italy;milano - italy;20147.0;italy;boxes, cardboard | packaging materials - paper and cardboard | tissue paper;the company gift box italia, is a distributor, founded in 2008, which operates in the boxes, cardboard industry. it also operates in the packaging materials - paper and cardboard, and tissue paper industries. it is based in milano, italy.;;;;False;2008.0;https://www.giftboxitalia.com;;gift-box-italia_00000004548848-342650001
botta packaging s.r.l.;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;via fleming 1, | 20090 trezzano sul naviglio - italy;trezzano sul naviglio - italy;20090.0;italy;packaging materials - paper and cardboard | boxes, cardboard | food packaging | packaging | custom boxes;the company botta packaging s.r.l., is a manufacturer/ producer, founded in 1947, which operates in the packaging materials - paper and cardboard industry. it also operates in the boxes, cardboard, food packaging, packaging, and custom boxes industries. it is based in trezzano sul naviglio, italy.;11.0;50.0;registered office – parent company;False;1947.0;http://www.botta.it;;botta-packaging-srl_seac000917142-001
tecno box s.r.l.;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;via galileo galilei, 23 | 90044 carini - italy;carini - italy;90044.0;italy;packaging materials - paper and cardboard | trays for packaging | polystyrene trays | coils;the company tecno box s.r.l., is a manufacturer/ producer, which operates in the packaging materials - paper and cardboard industry. it also operates in the trays for packaging, polystyrene trays, and coils industries. it is based in carini, italy.;101.0;200.0;registered office;False;;http://www.tecnobox.net;;tecno-box-srl_00000004537995-336014001
sillaro;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;viale milano, 95/97 | 20078 san colombano al lambro - italy;san colombano al lambro - italy;20078.0;italy;packaging materials - paper and cardboard;the company sillaro, is a manufacturer/ producer, which operates in the packaging materials - paper and cardboard industry. it is based in san colombano al lambro, italy.;11.0;50.0;;False;;http://www.sillaro.com;;sillaro_00000005255164-570357001
eco-smaltimenti;paper_cardboard;packaging_materials_paper_and_cardboard;;wholesaler;via bove 51/53 | 70033 corato - italy;corato - italy;70033.0;italy;packaging materials - paper and cardboard;the company eco-smaltimenti, is a wholesaler, which operates in the packaging materials - paper and cardboard industry. it is based in corato, italy.;1.0;10.0;;False;;http://www.santaritaservizi.it;;ecosmaltimenti_00000005239300-557222001
v cart s.r.l.;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;via sandro pertini, 8 | 30020 annone veneto - italy;annone veneto - italy;30020.0;italy;packaging materials - paper and cardboard | cardboard corners | protection corners | packing;the company v cart s.r.l., is a manufacturer/ producer, founded in 2008, which operates in the packaging materials - paper and cardboard industry. it also operates in the cardboard corners, protection corners, and packing industries. it is based in annone veneto, italy.;1.0;10.0;registered office;False;2008.0;http://www.vcart.it;;v-cart-srl_seac004937675-001
b.f.m. s.r.l.;paper_cardboard;packaging_materials_paper_and_cardboard;;wholesaler;via canaletto 55 | 19033 castelnuovo magra - italy;castelnuovo magra - italy;19033.0;italy;packaging materials - paper and cardboard | packing accessories, plastic | plastic packing accessories | cardboard corners;the company b.f.m. s.r.l., is a wholesaler, which operates in the packaging materials - paper and cardboard industry. it also operates in the packing accessories, plastic, plastic packing accessories, and cardboard corners industries. it is based in castelnuovo magra, italy.;11.0;50.0;;False;;http://www.imballaggi-2000.com/;;bfm-srl_seac001707553-527297001
la cartomeccanica imballaggi srl;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;via europa 23/25 | 20085 locate di triulzi - italy;locate di triulzi - italy;20085.0;italy;packaging materials - paper and cardboard | cardboard tubes;the company la cartomeccanica imballaggi srl, is a manufacturer/ producer, founded in 1982, which operates in the packaging materials - paper and cardboard industry. it also operates in the cardboard tubes industries. it is based in locate di triulzi, italy.;11.0;50.0;registered office – parent company;False;1982.0;http://www.lacartomeccanica.com;;la-cartomeccanica-imballaggi-srl_00000004540711-342489001
mauro benedetti s.p.a.;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;via pievaiola, 164/m | zi s. andrea delle fratte | 06132 perugia - italy;perugia - italy;6132.0;italy;packaging materials - paper and cardboard | cardboard for the packaging industry | corrugated board packaging | cardboard boxes;the company mauro benedetti s.p.a., is a manufacturer/ producer, founded in 1982, which operates in the packaging materials - paper and cardboard industry. it also operates in the cardboard for the packaging industry, corrugated board packaging, and cardboard boxes industries. it is based in perugia, italy.;;;;False;1982.0;http://www.maurobenedetti.it;;mauro-benedetti-spa_seac000500094-001
opack srl;paper_cardboard;packaging_materials_paper_and_cardboard;;multi-category;via luraghi c/o consorzio "il sole" | 80038 pomigliano d'arco - italy;pomigliano d'arco - italy;80038.0;italy;packaging materials - paper and cardboard | packaging | wood - packaging | office stationery;the company opack srl, is a multi-category, which operates in the packaging materials - paper and cardboard industry. it also operates in the packaging, wood - packaging, and office stationery industries. it is based in pomigliano d'arco, italy.;11.0;50.0;;False;;https://opacksrl.it/;;opack-srl_00000005450919-792952001
tecnobag srl unipersonale;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;via francesca 19/f | 25030 coccaglio - italy;coccaglio - italy;25030.0;italy;packaging materials - paper and cardboard | cloth shopping bags | plastic carrier bag;the company tecnobag srl unipersonale, is a manufacturer/ producer, which operates in the packaging materials - paper and cardboard industry. it also operates in the cloth shopping bags, and plastic carrier bag industries. it is based in coccaglio, italy.;;;;False;;https://www.tecnobag.com;;tecnobag-srl-unipersonale_00000005513709-001
ts&co service packaging soc. cooperativa;paper_cardboard;packaging_materials_paper_and_cardboard;;wholesaler;ronco ii a viale zecchino, 2-b | 96100 siracusa - italy;siracusa - italy;96100.0;italy;packaging materials - paper and cardboard | jewellery boxes | tote shoppers | personalised labels;the company ts&co service packaging soc. cooperativa, is a wholesaler, which operates in the packaging materials - paper and cardboard industry. it also operates in the jewellery boxes, tote shoppers, and personalised labels industries. it is based in siracusa, italy.;;;;False;;https://www.tseco.it;;tsco-service-packaging-soc-cooperativa_00000005520843-001
idea packaging srl;paper_cardboard;packaging_materials_paper_and_cardboard;;retailer;via massimo d'antona 6/16 | 61022 talacchio di vallefoglia - italy;talacchio di vallefoglia - italy;61022.0;italy;packaging materials - paper and cardboard | corrugated board packaging;the company idea packaging srl, is a retailer, which operates in the packaging materials - paper and cardboard industry. it also operates in the corrugated board packaging industries. it is based in talacchio di vallefoglia, italy.;11.0;50.0;;False;;https://idea-packaging-srl.business.site/?m=true;;idea-packaging-srl_00000005444171-783031001
full packaging srl semplificata;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;via collatia n. 21 | 71011 apricena - italy;apricena - italy;71011.0;italy;packaging materials - paper and cardboard | food packaging | plastic packaging | wooden packing;the company full packaging srl semplificata, is a manufacturer/ producer, which operates in the packaging materials - paper and cardboard industry. it also operates in the food packaging, plastic packaging, and wooden packing industries. it is based in apricena, italy.;11.0;50.0;;False;;;;full-packaging-srl-semplificata_00000004738127-535299001
cazzarolli leonardo srl;paper_cardboard;packaging_materials_paper_and_cardboard;;service provider;via roveggia 29/c | 37136 verona - italy;verona - italy;37136.0;italy;packaging materials - paper and cardboard;the company cazzarolli leonardo srl, is a service provider, which operates in the packaging materials - paper and cardboard industry. it is based in verona, italy.;1.0;10.0;;False;;http://www.cazzarolli.it/;;cazzarolli-leonardo-srl_00000005277981-591499001
rotografica vicentina s.r.l.;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;viale del lavoro 20/e | 36100 vicenza - italy;vicenza - italy;36100.0;italy;packaging materials - paper and cardboard | custom packaging | paper, packaging - manufacture;the company rotografica vicentina s.r.l., is a manufacturer/ producer, founded in 1963, which operates in the packaging materials - paper and cardboard industry. it also operates in the custom packaging, and paper, packaging - manufacture industries. it is based in vicenza, italy.;;;registered office;False;1963.0;http://www.rotograficavicentina.it;;rotografica-vicentina-srl_seac000210674-001
poliplast srl;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;via dell'industria, 10/22 | 37010 rivoli veronese - italy;rivoli veronese - italy;37010.0;italy;packaging materials - paper and cardboard | polyester packaging | corrugated board packaging;the company poliplast srl, is a manufacturer/ producer, which operates in the packaging materials - paper and cardboard industry. it also operates in the polyester packaging, and corrugated board packaging industries. it is based in rivoli veronese, italy.;11.0;50.0;;False;;http://www.poliplast.it/;;poliplast-srl_00000003502275-53240001
bong packaging s.r.l.;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;viale masini 12/14 | 40126 bologna - italy;bologna - italy;40126.0;italy;packaging materials - paper and cardboard | bags | forwarding | shoppers and bags | e-commerce;the company bong packaging s.r.l., is a manufacturer/ producer, which operates in the packaging materials - paper and cardboard industry. it also operates in the bags, forwarding, shoppers and bags, and e-commerce industries. it is based in bologna, italy.;;;;False;;;;bong-packaging-srl_00000005507832-001
carton s.r.l.;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;16 via della produzione | 61025 montelabbate - italy;montelabbate - italy;61025.0;italy;packaging materials - paper and cardboard | food packaging | paper, packaging - manufacture;the company carton s.r.l., is a manufacturer/ producer, founded in 1993, which operates in the packaging materials - paper and cardboard industry. it also operates in the food packaging, and paper, packaging - manufacture industries. it is based in montelabbate, italy.;1.0;10.0;registered office;False;1993.0;http://www.carton.it;;carton-srl_seac000334807-001
scatolificio medese di romagnoli roberto;paper_cardboard;packaging_materials_paper_and_cardboard;;wholesaler;26 via xxv aprile | 27035 mede - italy;mede - italy;27035.0;italy;packaging materials - paper and cardboard | food packaging | tubes, cardboard;the company scatolificio medese di romagnoli roberto, is a wholesaler, founded in 2001, which operates in the packaging materials - paper and cardboard industry. it also operates in the food packaging, and tubes, cardboard industries. it is based in mede, italy.;;;registered office;False;2001.0;http://www.paginegialle.it/scatolificio-medese-mede-pavia;;scatolificio-medese-di-romagnoli-roberto_seac000568312-001
commercialcarta s.r.l.;paper_cardboard;packaging_materials_paper_and_cardboard;;wholesaler;132 via capitelvecchio | 36061 bassano del grappa - italy;bassano del grappa - italy;36061.0;italy;packaging materials - paper and cardboard | cleaning and maintenance products, household | paper - raw materials;the company commercialcarta s.r.l., is a wholesaler, founded in 1988, which operates in the packaging materials - paper and cardboard industry. it also operates in the cleaning and maintenance products, household, and paper - raw materials industries. it is based in bassano del grappa, italy.;11.0;50.0;registered office;False;1988.0;http://www.commercialcarta.it;;commercialcarta-srl_seac000601555-001
gariglio michele;paper_cardboard;packaging_materials_paper_and_cardboard;;;6 via tollegno | 13900 biella - italy;biella - italy;13900.0;italy;packing and packaging materials, metal | plastics - packaging | packaging materials - paper and cardboard;the company gariglio michele, founded in 1985, which operates in the packing and packaging materials, metal industry. it also operates in the plastics - packaging, and packaging materials - paper and cardboard industries. it is based in biella, italy.;;;registered office;False;1985.0;;;gariglio-michele_seac000426445-001
promograf s.r.l.;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;14 via degli imprenditori | 37067 valeggio sul mincio - italy;valeggio sul mincio - italy;37067.0;italy;packaging materials - paper and cardboard | publishing, miscellaneous items | tins and cans;the company promograf s.r.l., is a manufacturer/ producer, founded in 2000, which operates in the packaging materials - paper and cardboard industry. it also operates in the publishing, miscellaneous items, and tins and cans industries. it is based in valeggio sul mincio, italy.;11.0;50.0;registered office;False;2000.0;http://www.paginegialle.it/promografsrl_eflhhh;;promograf-srl_seac000829272-001
la innovapack s.r.l.;paper_cardboard;packaging_materials_paper_and_cardboard;;;9 strada provinciale 181 | 26833 merlino - italy;merlino - italy;26833.0;italy;packaging materials - paper and cardboard | food packaging | tubes, cardboard;the company la innovapack s.r.l., founded in 2008, which operates in the packaging materials - paper and cardboard industry. it also operates in the food packaging, and tubes, cardboard industries. it is based in merlino, italy.;11.0;50.0;;False;2008.0;;;la-innovapack-srl_seac004863199-001
la scatola;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;22/24 via gran sasso | 20010 bareggio - italy;bareggio - italy;20010.0;italy;packaging materials - paper and cardboard | food packaging | tubes, cardboard;the company la scatola, is a manufacturer/ producer, founded in 1992, which operates in the packaging materials - paper and cardboard industry. it also operates in the food packaging, and tubes, cardboard industries. it is based in bareggio, italy.;;;registered office;False;1992.0;;;la-scatola_seac003431862-001
colmec;paper_cardboard;packaging_materials_paper_and_cardboard;;subcontractor;6 via novarino | 23899 robbiate - italy;robbiate - italy;23899.0;italy;packing and packaging materials, metal | plastics - packaging | packaging materials - paper and cardboard;the company colmec, is a subcontractor, which operates in the packing and packaging materials, metal industry. it also operates in the plastics - packaging, and packaging materials - paper and cardboard industries. it is based in robbiate, italy.;;;registered office;False;;http://www.colmec-italia.it/;;colmec_seac002427734-001
ge di pack s.r.l.;paper_cardboard;packaging_materials_paper_and_cardboard;;wholesaler;6 via dei barrocciai | 06081 assisi - italy;assisi - italy;6081.0;italy;packaging materials - paper and cardboard | food packaging | paper, packaging - manufacture;the company ge di pack s.r.l., is a wholesaler, which operates in the packaging materials - paper and cardboard industry. it also operates in the food packaging, and paper, packaging - manufacture industries. it is based in assisi, italy.;1.0;10.0;registered office;False;;;;ge-di-pack-srl_seac005011250-001
scatolificio imca;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;31 via verdi | 43017 san secondo parmense - italy;san secondo parmense - italy;43017.0;italy;packaging materials - paper and cardboard | tins and cans | food packaging;the company scatolificio imca, is a manufacturer/ producer, founded in 1992, which operates in the packaging materials - paper and cardboard industry. it also operates in the tins and cans, and food packaging industries. it is based in san secondo parmense, italy.;;;registered office;False;1992.0;;;scatolificio-imca_seac000537697-001
centro gross;paper_cardboard;packaging_materials_paper_and_cardboard;;;via a. einstein, 46/48 | 40017 san giovanni in persiceto (bo) - italy;san giovanni in persiceto (bo) - italy;40017.0;italy;packaging materials - paper and cardboard;the company centro gross, which operates in the packaging materials - paper and cardboard industry. it is based in san giovanni in persiceto (bo), italy.;;;;False;;;;centro-gross_ita313683-00101
gradisac tolentino s.r.l.;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;falcone giovanni | 62029 tolentino (mc) - italy;tolentino (mc) - italy;62029.0;italy;packaging materials - paper and cardboard;the company gradisac tolentino s.r.l., is a manufacturer/ producer, which operates in the packaging materials - paper and cardboard industry. it is based in tolentino (mc), italy.;51.0;100.0;;False;;;;gradisac-tolentino-srl_ita118136-00101
bottega della carta di consolante;paper_cardboard;packaging_materials_paper_and_cardboard;;;via s. antonio | 83031 ariano irpino - italy;ariano irpino - italy;83031.0;italy;packaging materials - paper and cardboard | food packaging | paper, packaging - manufacture;the company bottega della carta di consolante, founded in 1989, which operates in the packaging materials - paper and cardboard industry. it also operates in the food packaging, and paper, packaging - manufacture industries. it is based in ariano irpino, italy.;;;registered office;False;1989.0;;;bottega-della-carta-di-consolante_seac002143643-001
scatolificio bresciano s.r.l.;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;154 via trento | 25020 capriano del colle - italy;capriano del colle - italy;25020.0;italy;packaging materials - paper and cardboard | food packaging | tins and cans;the company scatolificio bresciano s.r.l., is a manufacturer/ producer, founded in 1993, which operates in the packaging materials - paper and cardboard industry. it also operates in the food packaging, and tins and cans industries. it is based in capriano del colle, italy.;;;registered office;False;1993.0;;;scatolificio-bresciano-srl_seac002135290-001
arto - kart s.n.c. di tobia angelo & c.;paper_cardboard;packaging_materials_paper_and_cardboard;;wholesaler;via badia | 03012 anagni - italy;anagni - italy;3012.0;italy;packaging materials - paper and cardboard | food packaging | paper, packaging - manufacture;the company arto - kart s.n.c. di tobia angelo & c., is a wholesaler, which operates in the packaging materials - paper and cardboard industry. it also operates in the food packaging, and paper, packaging - manufacture industries. it is based in anagni, italy.;;;registered office;False;;;;arto-kart-snc-di-tobia-angelo-c_seac005116829-001
ondulati poggi s.r.l.;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;58 regione bessiche | 15070 tagliolo monferrato - italy;tagliolo monferrato - italy;15070.0;italy;packaging materials - paper and cardboard | food packaging | tubes, cardboard;the company ondulati poggi s.r.l., is a manufacturer/ producer, founded in 2008, which operates in the packaging materials - paper and cardboard industry. it also operates in the food packaging, and tubes, cardboard industries. it is based in tagliolo monferrato, italy.;;;;False;2008.0;;;ondulati-poggi-srl_seac004922454-001
cartonlegno s.r.l.;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;stazione | 74016 massafra (ta) - italy;massafra (ta) - italy;74016.0;italy;packaging materials - paper and cardboard | custom packaging;the company cartonlegno s.r.l., is a manufacturer/ producer, which operates in the packaging materials - paper and cardboard industry. it also operates in the custom packaging industries. it is based in massafra (ta), italy.;11.0;50.0;;False;;;;cartonlegno-srl_ita050072-00101
le scatole s.n.c. di codazza corrado e c.;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;8 via volturno | 20089 rozzano - italy;rozzano - italy;20089.0;italy;packaging materials - paper and cardboard | publishing, miscellaneous items | custom packaging;the company le scatole s.n.c. di codazza corrado e c., is a manufacturer/ producer, founded in 1983, which operates in the packaging materials - paper and cardboard industry. it also operates in the publishing, miscellaneous items, and custom packaging industries. it is based in rozzano, italy.;;;;False;1983.0;http://www.lescatole.it;;le-scatole-snc-di-codazza-corrado-e-c_seac001042526-001
barombox s.r.l.;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;14 via reverberi | 42013 casalgrande - italy;casalgrande - italy;42013.0;italy;packaging materials - paper and cardboard | food packaging | tubes, cardboard;the company barombox s.r.l., is a manufacturer/ producer, founded in 2000, which operates in the packaging materials - paper and cardboard industry. it also operates in the food packaging, and tubes, cardboard industries. it is based in casalgrande, italy.;11.0;50.0;;False;2000.0;;;barombox-srl_seac000564871-001
azienda cartaria tramutola di giancanio tramutola & c. s.a.s.;paper_cardboard;packaging_materials_paper_and_cardboard;;;via della edilizia | 85100 potenza - italy;potenza - italy;85100.0;italy;packaging materials - paper and cardboard | food packaging | paper, packaging - manufacture;the company azienda cartaria tramutola di giancanio tramutola & c. s.a.s., founded in 1990, which operates in the packaging materials - paper and cardboard industry. it also operates in the food packaging, and paper, packaging - manufacture industries. it is based in potenza, italy.;11.0;50.0;registered office;False;1990.0;;;azienda-cartaria-tramutola-di-giancanio-tramutola-c-sas_seac000266337-001
guidetti s.r.l.;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;salvi | 44042 cento (fe) - italy;cento (fe) - italy;44042.0;italy;packaging materials - paper and cardboard | folders, paper;the company guidetti s.r.l., is a manufacturer/ producer, which operates in the packaging materials - paper and cardboard industry. it also operates in the folders, paper industries. it is based in cento (fe), italy.;11.0;50.0;;False;;http://www.guidettisrl.com;;guidetti-srl_ita107855-00101
carteco;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;1/c via biscie | 48017 conselice - italy;conselice - italy;48017.0;italy;packaging materials - paper and cardboard | food packaging | tubes, cardboard;the company carteco, is a manufacturer/ producer, founded in 1989, which operates in the packaging materials - paper and cardboard industry. it also operates in the food packaging, and tubes, cardboard industries. it is based in conselice, italy.;11.0;50.0;registered office;False;1989.0;;;carteco_seac002312237-001
chinaglia papers-bags s.n.c.;paper_cardboard;packaging_materials_paper_and_cardboard;;;;;;italy;;;;;;False;;;;chinaglia-papersbags-snc_seac004958089-001
imballaggi san martino s.r.l.;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;32 via enzo ferrari | 25030 lograto - italy;lograto - italy;25030.0;italy;packaging materials - paper and cardboard | food packaging | tubes, cardboard;the company imballaggi san martino s.r.l., is a manufacturer/ producer, founded in 2002, which operates in the packaging materials - paper and cardboard industry. it also operates in the food packaging, and tubes, cardboard industries. it is based in lograto, italy.;11.0;50.0;registered office;False;2002.0;http://www.imballaggisanmartino.it;;imballaggi-san-martino-srl_seac002445145-001
el. ma di colpani a. & m. s.n.c.;paper_cardboard;packaging_materials_paper_and_cardboard;;manufacturer/ producer;3 via firenze | 24040 ciserano - italy;ciserano - italy;24040.0;italy;packaging materials - paper and cardboard | food packaging | tins and cans;the company el. ma di colpani a. & m. s.n.c., is a manufacturer/ producer, founded in 1978, which operates in the packaging materials - paper and cardboard industry. it also operates in the food packaging, and tins and cans industries. it is based in ciserano, italy.;11.0;50.0;registered office;False;1978.0;;;el-ma-di-colpani-a-m-snc_seac000182017-001
arte dolce s.r.l.;paper_cardboard;packaging_materials_paper_and_cardboard;;wholesaler;15/a piazzale faraboli giovanni | 43126 parma - italy;parma - italy;43126.0;italy;packaging materials - paper and cardboard | bakery and confectionery industry - machinery and equipment | hotels, bars, cafés and restaurants - machinery and equipment;the company arte dolce s.r.l., is a wholesaler, founded in 1980, which operates in the packaging materials - paper and cardboard industry. it also operates in the bakery and confectionery industry - machinery and equipment, and hotels, bars, cafés and restaurants - machinery and equipment industries. it is based in parma, italy.;11.0;50.0;registered office;False;1980.0;https://www.artedolceparma.it/;;arte-dolce-srl_seac000141921-001
pack service s.r.l.;paper_cardboard;packaging_materials_paper_and_cardboard;;;km. 11.900 strada statale 100 | 70010 capurso - italy;capurso - italy;70010.0;italy;packaging materials - paper and cardboard | food packaging | tubes, cardboard;the company pack service s.r.l., which operates in the packaging materials - paper and cardboard industry. it also operates in the food packaging, and tubes, cardboard industries. it is based in capurso, italy.;11.0;50.0;;False;;;;pack-service-srl_seac005240118-001
cartiera marchigiana (s.r.l.);paper_cardboard;packaging_materials_paper_and_cardboard;;;gianolio matteo | 27029 vigevano (pv) - italy;vigevano (pv) - italy;27029.0;italy;packaging materials - paper and cardboard;the company cartiera marchigiana (s.r.l.), which operates in the packaging materials - paper and cardboard industry. it is based in vigevano (pv), italy.;11.0;50.0;;False;;;;cartiera-marchigiana-srl_ita014059-00101
